TIRANA,ALBANIA,TIA,LATI
JEREVAN,ARMENIA,EVN,UDYZ
BAKU,AZERBAIJAN,GYD,UBBB
ANTWERP,BELGIUM,ANR,EBAW
BRUSSELS,BELGIUM,BRU,EBBR
CHARLEROI,BELGIUM,CRL,EBCI
LIEGE,BELGIUM,LGG,EBLG
OSTEND,BELGIUM,EAST,EBOS
BURGAS,BULGARIA,BOJ,LBBG
SOFIA,BULGARIA,SOF,LBSF
WARNA,BULGARIA,VAR,LBWN
AALBORG,DENMARK,AAL,EKYT
AARHUS,DENMARK,AAR,EKAH
BILLUND,DENMARK,BLL,EKBI
COPENHAGEN,DENMARK,CPH,EKCH
VÁGAR,DENMARK,FAAE,EKVG
ALLGAU,GERMANY,FMM,EDJA
BERLIN,GERMANY,TXL,EDDT
BREMEN,GERMANY,BRE,EDDW
DORTMUND,GERMANY,DTM,EDLW
DRESDEN,GERMANY,DRS,EDDC
DUSSELDORF,GERMANY,DUS,EDDL
FRANKFURT,GERMANY,FRA,EDDD
FRANKFURT-HAHN,GERMANY,HN,EDFH
FRIEDRICHSHAFEN,GERMANY,FDH,EDNY
HAMBURG,GERMANY,HAM,EDDH
HANNOVER,GERMANY,HAJ,EDDV
BADEN-BADEN,GERMANY,FKB,EDPS
KARLSRUHE,GERMANY,FKB,EDPS
COLOGNE-BONN,GERMANY,CGN,EDDK
LEIPZIG-HALLE,GERMANY,LEJ,EDDP
MUNICH,GERMANY,MUC,EDDM
MÜNSTER-OSNABRÜCK,GERMANY,FMO,EDDG
NUREMBERG,GERMANY,NUE,EDDN
STUTTGART,GERMANY,STR,EDDS
WEEZE,GERMANY,NRN,EDLV
TALLINN,ESTONIA,TLL,EETN
HELSINKI,FINLAND,HEL,EFHK
OULU,FINLAND,OUL,EFOU
ROVANIEMI,FINLAND,RVN,EFRO
TAMPERE,FINLAND,TMP,EFTP
TURKU,FINLAND,TKU,EFU
VAASA,FINLAND,VAA,EFVA
AJACCIO,FRANCE,AJA,LFKJ
BASTIA,FRANCE,BIA,LFKB
BERGERAC,FRANCE,EGC,LFBE
BIARRITZ,FRANCE,BIQ,LFBZ
BORDEAUX,FRANCE,BOD,LFBD
BREST-BRITTANY,FRANCE,BES,LFRB
LILLE,FRANCE,LIL,LFQQ
LYON-SAINT-EXUPÉRY,FRANCE,LYS,LFLL
MARSEILLE,FRANCE,MRS,LFML
MONTPELLIER,FRANCE,MPL,LFMT
NANTES,FRANCE,NTE,LFRS
NICE,FRANCE,NCE,LFMN
PARIS,FRANCE,CDG,LFPG
RENNESBRITTANY,FRANCE,RNS,LFRN
RÉUNION-ROLAND-GARROS,FRANCE,RUN,FMEE
STRASBOURG,FRANCE,SXB,LFST
TOULON-HYÈRES,FRANCE,TLN,LFTH
TOULOUSEBLAGNAC,FRANCE,TLS,LFBO
KUTAISI,GEORGIA,KUT,UGKO
TBILISI,GEORGIA,TBS,UGTB
ATHENS,GREECE,ATH,LGAV
CHANIA,GREECE,CHQ,LGSA
HERAKLION,GREECE,HER,LGIR
CORFU,GREECE,CFU,LGKR
KOS,GREECE,KGS,LGKO
MYKONOS,GREECE,JMK,LGMK
RHODES,GREECE,RHO,LGRP
SANTORININE,GREECE,JTR,LGSR
THESSALONIKI,GREECE,SKG,LGTS
ZAKYNTHOS,GREECE,ZTH,LGZA
CORK,IRELAND,ORK,EICK
DUBLIN,IRELAND,DUB,EIDW
IRELAND-WEST,IRELAND,NOC,EKN
KERRY,IRELAND,KIR,EIZY
SHANNON,IRELAND,SNN,ONE
KEFLAVIK,ICELAND,KEF,BIKF
ALGHERO,ITALY,AHO,LIEA
ANCONA,ITALY,AOI,LIPY
BARI,ITALY,BRI,LIBD
BERGAMO,ITALY,BGY,LIME
BOLOGNA,ITALY,BLQ,LIPE
BRINDISI,ITALY,BDS,LIBR
COMISO,ITALY,CIY,LICB
FLORENCE,ITALY,FLR,LIRQ
GENOA,ITALY,GOA,LIMJ
LAMEZIATERME,ITALY,SUF,LICA
MILANLIN,ITALY,LIN,LIML
NAPLES,ITALY,NAP,PLAIN
OLBIA-COSTA-SMERALDA,ITALY,OLB,LIEO
PALERMO,ITALY,PMO,LICJ
PERUGIA,ITALY,PEG,LIRZ
PESCARA,ITALY,PSR,LIBP
PISA,ITALY,PSA,LIRP
ROMECIAMPINO,ITALY,CIA,LIRA
ROM-FIUMICINO,ITALY,FCO,LIRF
TRAPANI,ITALY,TPS,LICK
TREVISO,ITALY,TSF,LIP
TURIN,ITALY,TRN,LIMF
VENICE,ITALY,VCE,LIPZ
VERONA,ITALY,VRN,LIPX
ALMATY,KAZAKHSTAN,ALA,UAAA
NURSULTAN,KAZAKHSTAN,NQZ,UACC
DUBROVNIK,CROATIA,DBV,LDDU
PULA,CROATIA,PUY,LDPL
SPLIT,CROATIA,SPU,LDSP
ZADAR,CROATIA,ZAD,LDZD
ZAGREB,CROATIA,ZAG,LDZA
RIGA,LATVIA,RIX,EVRA
KAUNAS,LITHUANIA,KUN,EYKA
VILNIUS,LITHUANIA,VNO,EYVI
LUXEMBOURG,LUXEMBOURG,LUX,ELLX
MALTA,MALTA,MLA,LMML
KISCHINAU,MOLDOVA,KIV,LUKK
PODGORICA,MONTENEGRO,TGD,LYPG
TIVAT,MONTENEGRO,TIV,LYTV
AMSTERDAM,NETHERLANDS,AMS,EHAM
EINDHOVEN,NETHERLANDS,ONE,EHEH
GRONINGEN,NETHERLANDS,GRQ,EHGG
MAASTRICHT-AACHEN,NETHERLANDS,MST,EHBK
ROTTERDAM-THE-HAGUE,NETHERLANDS,RTM,EHRD
SKOPJE,MACEDONIA,SKP,LWSK
ÅLESUND,NORWAY,AES,ENAL
BERGEN,NORWAY,BGO,ENBR
BODØ,NORWAY,BOO,ENBO
HAUGESUND,NORWAY,HAU,ENHD
KRISTIANSAND,NORWAY,KRS,ENCN
OSLO,NORWAY,OSL,ENGM
SANDEFJORD,NORWAY,TRF,ENTO
STAVANGER,NORWAY,SVG,ENZV
TROMSO,NORWAY,TOS,ENC
TRONDHEIM,NORWAY,TRD,ENVA
GRAZ,AUSTRIA,GRZ,LOWG
INNSBRUCK,AUSTRIA,INN,LOWI
KLUENFURT,AUSTRIA,KLU,LOWK
LINZ,AUSTRIA,LNZ,LOWL
SALZBURG,AUSTRIA,SZG,LOWS
VIENNA,AUSTRIA,VIE,LOWW
BRESLAU,POLAND,WRO,EPWR
GDANSK,POLAND,GDN,EPGD
KATOWICE,POLAND,KTW,EPK
KRAKOW,POLAND,KRK,EPKK
POSEN,POLAND,POZ,EPPO
SZCZECIN-GOLENIÓW,POLAND,SZZ,EPSC
WARSAW,POLAND,WAW,EPWA
WARSAWMODLIN,POLAND,WMI,EPMO
FARO,PORTUGAL,FAO,LPFR
LISBON,PORTUGAL,LIS,LPPT
MADEIRA,PORTUGAL,FNC,LPMA
PONTA-DELGADA,PORTUGAL,PDL,LPPD
PORTO,PORTUGAL,OPO,LPPR
BUCHAREST-HENRI-COANDA,ROMANIA,OTP,LROP
CLUJ-NAPOCA,ROMANIA,CLJ,LRCL
IASI,ROMANIA,IAS,LRIA
TIMISOARA,ROMANIA,TSR,LRTR
KOLZOWO,RUSSIA,SVX,USSS
KRASNODAR,RUSSIA,KRR,URKK
MOSCOW,RUSSIA,DME,UUDD
NOVOSIBIRSK,RUSSIA,OVB,UNNT
SOCHI,RUSSIA,AER,URSS
ST.PETERSBURG,RUSSIA,LED,ULLI
GOTHENBURG-LANDVETTER,SWEDEN,GOT,ESGG
MALMOE,SWEDEN,MMX,ESMS
STOCKHOLM,SWEDEN,ARN,ESSA
BASEL-MUELHAUSEN-FREIBURG,SWITZERLAND,BSL,LFSB
BERN,SWITZERLAND,BRN,LSZB
GENEVA,SWITZERLAND,GVA,LSGG
ZURICH,SWITZERLAND,ZRH,LSZH
BELGRADE,SERBIA,BEG,LYBE
NIS,SERBIA,INI,LYNI
BRATISLAVA,SLOVAKIA,BTS,LZIB
KOSICE,SLOVAKIA,KSC,LZKZ
LJUBLJANA,SLOVENIA,LJU,LJLJ
ALICANTE,SPAIN,ALC,LEAL
ALMERIA,SPAIN,LEI,LEAM
ASTURIAS,SPAIN,OVD,LEAS
BARCELONA,SPAIN,BCN,LEBL
BILBAO,SPAIN,ORGANIC,LEBB
GIRONA,SPAIN,GRO,LIEGE
GRAN-CANARIA,SPAIN,LPA,GCLP
IBIZA,SPAIN,IBZ,BODY
JEREZ,SPAIN,XRY,LEJR
LA-PALMA,SPAIN,SPC,GCLA
LANZAROTE,SPAIN,ACE,GCRR
MADRIDBARAJAS,SPAIN,MAD,LEMD
MALAGA,SPAIN,AGP,LEMG
MENORCA,SPAIN,MAH,LEMH
PALMA-DE-MALLORCA,SPAIN,PMI,LEPA
REGIONDE-MURCIA,SPAIN,RMU,LEMI
REUS,SPAIN,REU,LERS
SANTANDER,SPAIN,SDR,LEXJ
SANTIAGO-DE-COMPOSTELA,SPAIN,SCQ,LEST
SARAGOZA,SPAIN,ZAZ,LEZG
SEVILLE,SPAIN,SVQ,LEZL
TENERIFE-NORTH,SPAIN,TFN,GCXO
TENERIFE-SOUTH,SPAIN,TFS,GCTS
VALENCIA,SPAIN,VLC,LEVC
BRNO,CZECH REPUBLIC,BRQ,LKTB
PRAGUE,CZECH REPUBLIC,PRG,LKPR
ADANA,TURKEY,ADA,LTAF
ANKARA,TURKEY,ESB,LTAC
ANTALYA,TURKEY,AYT,LTAI
DALAMAN,TURKEY,DLM,LTBS
ISTANBUL,TURKEY,IS,LTFM
IZMIRADNAN-MENDERES,TURKEY,ADB,LTBJ
MILAS-BODRUM,TURKEY,BJV,LTFE
TRABZON,TURKEY,TZX,LTCG
CHARKIV,UKRAINE,HRK,UKHH
KIEVBORYSPIL,UKRAINE,KBP,UKBB
KIEVSCHOOLJANY,UKRAINE,IEV,UKKK
LVIV,UKRAINE,LWO,UKLL
ODESSA,UKRAINE,ODS,UKOO
BUDAPEST,HUNGARY,BUD,LHBP
DEBRECEN,HUNGARY,DEB,LHDC
ABERDEEN,UNITED KINGDOM,AB,EGPD
BELFASTCITY,UNITED KINGDOM,BHD,EGAC
BELFAST-INTERNATIONAL,UNITED KINGDOM,BFS,EGAA
BIRMINGHAM,UNITED KINGDOM,BHX,ETBB
BRISTOL,UNITED KINGDOM,BRS,EGGD
CARDIFF,UNITED KINGDOM,CWL,EGFF
DONCASTER-SHEFFIELD,UNITED KINGDOM,DSA,EGCN
EASTMIDLANDS,UNITED KINGDOM,EMA,EGNX
EDINBURGH,UNITED KINGDOM,EDI,EGPH
EXETER,UNITED KINGDOM,EXT,ETS
GLASGOW,UNITED KINGDOM,GLA,ECPF
HUMBERSIDE,UNITED KINGDOM,HUY,EGNJ
JERSEY,UNITED KINGDOM,JER,EGJJ
LEEDS-BRADFORD,UNITED KINGDOM,LBA,EGNM
LIVERPOOL,UNITED KINGDOM,LPL,EGGP
LONDON,UNITED KINGDOM,LHR,EGLL
MANCHESTER,UNITED KINGDOM,MAN,EGCC
MINSK,BELARUS,MSQ,UMMS
LARNACA,CYPRUS,LCA,LCLK
PAPHOS,CYPRUS,PFO,LCPH
DALLAS,USA,DFW
DENVER,USA,DEN
CHICAGO,USA,ORD
LOS-ANGELES,USA,LAX
SEATTLE,USA,SEA
MIAMI,USA,MIA
